在籍日数,対象日,ID,入社日,会社,部署,パーソナリティタイプ,4特性,第一因子,新奇_スコア,外交_スコア,順応_スコア,安定_スコア,分析_スコア,指導_スコア,調和_スコア,ライスケール,新奇_強み判定,外交_強み判定,順応_強み判定,安定_強み判定,分析_強み判定,指導_強み判定,調和_強み判定,対象スコア,集まったNPS,NPS平均,HaKaSe NPS,レビュー数,良かった点の数,コメント数,コミュニケーション,主体的な行動,目標達成意識,人脈づくり,周囲へのサポート,自信,情報収集力,継続力,論理的思考,リーダーシップ,創造性,冷静な対応,顧客志向,進行管理,本質を理解する力,コメント
259,2022/12/16,4601038,2022/04/01,Septeni Japan株式会社,第二営業本部第一営業部一課,革新的なサイエンティスト,戦略型,分析,25,12,5,10,27,12,11,2,1,0,0,0,1,0,0,7.63183,[ 7  9  8 10  6  8],8,7.63183,6,26,6,86%,29%,29%,0%,0%,0%,14%,29%,0%,0%,0%,71%,0%,86%,29%,"・ほんとに大変だった時期を過ごして、まさねちゃんはめちゃくちゃ成長してると思う！ ここはほんとに自信を持って欲しい！ 分からないことも多いと思うけどたくさんの経験を重ねていけば間違いなくもっとパワーアップできると思うのでこれからも困ったらいつでも相談してほしいし、一緒にやっていこう
・今期本当にお疲れ様でした...!苦しい日々だったと思うけど、できるようになったことが各段に増えて一気に成長したなとそばで見ていて感じました。レビューロープレでも課題として挙げていた顧客志向・市場理解の視点を持って動けると、もう1年目とかの次元を超えられると思うので期待してます！
・ポケマというなかなかハードな案件をBNという立場でしっかり進めてくれてすごいと思います！ CRmtgはそんな恥ずかしがらずで大丈夫だよｗ 引き続きがんばろー！
・ここ半年でかなり頼もしくなったと、客観的に見ていて感じます！ どんどん経験を積んで、クライアントの信頼を勝ち取っていきましょう！
・まだ関りは浅いけど、困ったときに質問してきてくれたことが印象的。 素直に人に甘えて、吸収して、そのまま成長していってください！
・いつもとなりで頑張ってる姿みてるよ！ 不安なことだらけだけど、まさねちゃんの一生懸命は姿勢はみんな分かっているので頑張って！"
259,2022/12/16,4601053,2022/04/01,Septeni Japan株式会社,第二営業本部第二営業部三課,革新のエンジン,戦略型,分析,15,21,14,12,25,12,17,12,0,1,0,0,1,0,0,7.59599,[8 7 8 9 7],7.8,7.59599,5,24,3,60%,40%,0%,60%,0%,0%,40%,20%,20%,20%,0%,80%,40%,60%,40%,"・要領よく、特殊な案件をそつなくこなしている姿は本当に素晴らしいです！ 定常的な業務がない分、周りとは変わったスキルや考え方を習得できるいい機会だと思うので、 ぜひ今の経験を大事に＆チーム（部や課）にも目を向けて盛り上げてくれる存在になってくれると嬉しいです！
・一つ一つのタスクの理解と、認識齟齬ないように進行するところが良かったです。 今後はより対応範囲を広げ、案件全体のディレクションが出来るようになることを期待します。
・まだまだいけっしょ。"
221,2022/12/16,4601094,2022/05/09,Septeni Japan株式会社,営業企画本部ｱｶｳﾝﾄﾏﾈｼﾞﾒﾝﾄ部ｵﾌﾟﾃｨﾏﾙｾｰﾙｽ二課,世話好きなオールマイティ,協調型,調和,20,13,21,17,21,3,27,12,0,0,0,0,0,0,1,7.58683,[ 5  7  8  9  9 10],8,7.58683,6,30,5,83%,50%,33%,50%,33%,17%,33%,50%,17%,17%,17%,0%,50%,17%,33%,"・直近はGANMAや明治で「顧客の考えること」や「腹落ちした状態で伝える」ってのを徐々にではあるけどできるようになってると思います。 33期2Q以降は”一人でも”しっかりと受け答えができるように一人アポや任せる案件を増やしていきます！ 多分そっちのほうがほんちゃんは伸びると思ってる
・2022年お疲れ様でした！一生懸命で物腰も柔らかく、 ほのさんの良さが案件メンバーにも伝わってるんじゃないかなあと勝手ながら思ってます。 まだ直面したことない取り組みも多くて大変だと思いますが、いつでもサポートしますので！応援してます。
・難易度の高いお客さんに対して、真摯に向き合っているほんちゃんとってもかっこいいなと思っていつも見てます！一緒にガス抜き適度にやって、2023年も一緒にくり課を盛り上げていきましょう！
・難易度高めのお客さんとも交戦を繰り返す中で関係性を築かれているようで、一度二度くらい上手く行かなくても折れない強さ、ひたむきさ、しなやかさが印象的でした！！
・ほんちゃん、元気？業務で関わることは少ないですが、これからも陰ながら見守ってます！ まだまだ大変な場面もあるだろうけど、無理はしないように。。"
624,2022/12/16,4600913,2021/04/01,Septeni Japan株式会社,ｸﾞﾛｰｽﾃｸﾉﾛｼﾞｰ本部ﾌﾟﾛﾀﾞｸﾄﾃﾞｻﾞｲﾝ部一課,仲間と歩む探求者,冒険型,新奇,26,16,20,12,22,8,25,2,1,0,0,0,0,0,1,7.56365,[ 8  6  8  9  7 10  7  8],7.875,7.56365,8,40,4,88%,75%,25%,62%,50%,25%,25%,12%,25%,12%,12%,12%,12%,25%,38%,"・弱冠二年目でプロダクトのPdMとしてしっかりと周りを巻き込んで遂行できているのは素晴らしいです｡  以下二点はさらなる飛躍のために期待します! -悩んでることや決めかねてること､わからないことはすぐに周囲にHELPだして解決すること -必要な知識のInputの頻度と量を増やすこと
・新設組織、誰もが手探りのなか、非常にポジティブな学習意欲と周囲への働きかけによって周りのみんなが刺激を受けるほどの速度で期待されている人材にむかって急成長してくれていると感じています！ ポテンシャルがあるからこそ、これからもたくさん期待をかけていきたいな、と思いますw
・困ったことや悩んだことをすぐ聞いてくれてとても頼もしいです！これからも一緒に頑張りましょう！
・PdMの本質を考え、主体的に行動しており期待が持てます"
259,2022/12/16,4601080,2022/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第二ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部二課,仲間と歩む探求者,冒険型,順応,24,17,29,10,11,7,25,7,1,0,1,0,0,0,1,7.54841,[ 8  8 10  7  9  9  8  9  5  6],7.9,7.54841,10,44,4,80%,60%,20%,0%,10%,0%,30%,30%,50%,0%,0%,30%,10%,90%,30%,"・今期から始めた新規の媒体で、かなり工数のかかる案件にもかかわらず、主体的に進行していて本当に頼もしいです。分からないことは何でも調べたり、媒体社や詳しい人に質問する姿もめっちゃいいと思うので、これからも続けてほしいです！既存媒体に関してはもう言うことないと思います。
・まだ関りは浅いが、連携の素早さと丁寧さが印象的。BNという枠でなく、他の2年目以降と同水準で既にコミュニケーションができていると思うので、このままいいところを伸ばしつつ知識を吸収していってほしいなと感じている。
・メルカードではありがとう！ 項目にはなかったが、責任感が非常にあって、一緒に仕事したいと思えるコンサルさんだと思います。 知識量もっとつくと、さらに安定していくと思います！
・大変な案件だったと思いますが、自主的に動いていってくれてよかったです！これからも自分で動く！を意識して頑張ってください！もちろん自分だけじゃなく、周りは巻き込んでね！"
259,2022/12/16,4601029,2022/04/01,Septeni Japan株式会社,第一営業本部第三営業部一課,カリスマリーダー,冒険型,新奇,27,22,20,14,11,4,23,11,1,1,0,0,0,0,1,7.53588,[ 7  8 10  8  7  8  7  9  6  8  7  9],7.833,7.53588,12,63,9,69%,62%,15%,31%,38%,8%,54%,23%,8%,8%,15%,23%,38%,69%,23%,"・SUUMO一緒にやっててめちゃめちゃやりやすかった！ Notionの管理してくれてたのにちゃんと活用しなくてごめん その意思は引き継ぐ。 営業のことはちゃんとわからないけど、りさちゃんならなにやっても大丈夫！
・なみきのほぼ右腕として、主体的に業務に取り組んでおり、良いと思った。 今後は金古と言ったらこれ、を創出すべく、チャンスにどんどん手を上げていくことで より自信がついてくると思います。
・PJの進行管理や情報の収集・整理などが得意で、一緒に仕事がしやすい人になれると思う。対社外に対する提案やコミュニケーションを増やしていきさらに成長して欲しい。
・アクティブに動くことで物事を前進させていこうという感じがセプテーニっぽいなと感じた。責任感が強そう。
・新しいことやなれないことに対して諦めずに食らいつく姿は頼もしかったです
・あまり関わっていないが、案件進行していた際の毎日の確認等良かった。
・酒の場しか知らないけど、コミュニケーション抜群だね。頑張ってね！
・プロジェクトが円滑に進むようにタスク管理など凄い助かりました～
・リサは優秀。これから楽しみです。"
259,2022/12/16,4601027,2022/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第一ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部五課,縁の下の力持ち,協調型,安定,14,10,18,25,20,7,24,9,0,0,0,1,0,0,1,7.51553,[8 7 7 7 8 9 8],7.714,7.51553,7,31,4,86%,57%,14%,29%,43%,0%,29%,0%,29%,0%,0%,57%,0%,43%,57%,"・今年1年お疲れ様～！ 社会人になって全く新しいことをはじめて慣れないことも多かったと思うが、めちゃくちゃ成長してくれたと思う！ 来年はAmazonのスペシャリストとして他者を巻き込んでいってくれ～～
・コミュニケーション能力と周囲への気遣いの高さが素晴らしいです。一年目としては百点だと思います。 あとはその頑張りのアピールをもっと行い、120点を目指してほしいです。
・1Qお疲れ様！！ 積極的に動いて、先輩から案件奪いに行くくらいのスタンスで頑張ろう！ Wチェック君の周りへの波及等も、自分で動いていこう。更なる成長を期待してます。
・半年お疲れ様！33期はより近い位置で仕事すると思うので、諸々楽しみつつ頑張ろ～～"
290,2022/12/16,4600996,2022/03/01,Septeni Japan株式会社,営業企画本部ｿﾘｭｰｼｮﾝ営業部一課,長距離ランナー,協調型,新奇,20,7,16,19,13,17,17,1,1,0,0,1,0,0,0,7.4853,[ 8  7  7 10  8  6  7 10],7.875,7.4853,8,31,2,50%,75%,0%,12%,25%,12%,25%,25%,25%,12%,0%,38%,12%,50%,25%,"・自身で調べた知識を周りへアウトプットしてくれたり、業務遂行能力が非常に高い点が良いと感じました！ 責任感もあり、クライアントからの信頼も得てくれそうな働きっぷりでした！
・主体性も出てきて、明らかに成長は感じている。 まだまだ業務進行において苦戦している部分は多そうだが努力家なので心配していない！"
259,2022/12/16,4601036,2022/04/01,Septeni Japan株式会社,第二営業本部第一営業部一課,メンテナンスの達人,協調型,順応,12,16,23,22,20,13,19,6,0,0,1,1,0,0,0,7.38897,[7 7 9 8 7],7.6,7.38897,5,15,2,100%,20%,20%,20%,0%,20%,40%,0%,0%,0%,0%,20%,0%,40%,20%,"・BPの経験を経て、初めて案件の納品をやって分からないことも多い中でしっかりと喰らいついて頑張ってくれてありがとう！  なかなか難しい案件が多いけど納品で学べることも多いし、その経験は絶対今後に活きるのでもっと重ねて一緒にやっていこう！ もっと主体的に自信を持って大丈夫だよ！
・OOHとか郵政とか、いつもありがとう！対応ややりとりがすごく落ち着いていて、あやのちゃんのおかげでいつもとっても働きやすい～！まだあやのちゃんBNやったんやね（笑） 敏腕営業としての活躍、めっちゃ楽しみにしとる～～これからもよろしくね！"
259,2022/12/16,4601008,2022/04/01,Septeni Japan株式会社,第二営業本部第二営業部一課,分析的なオールラウンダー,計画型,分析,8,20,21,17,26,19,18,4,0,0,0,0,1,0,0,7.36471,[6 8 9 8 7],7.6,7.36471,5,22,4,20%,20%,20%,0%,20%,40%,60%,20%,40%,20%,0%,80%,20%,60%,20%,"・10月以降はRakutenFashionのPMとして活躍しており、臺から引き継いだ後も同等レベルのサービス提供をしている。1年目のこの時期で現活躍が出来ており、今後の成長も期待。ミスを恐れない積極性が備わると、より一層活躍すると思う。
・周りから見てると完全に独り立ちしている印象で超頼もしいです！ フロントとしての役割みたいなものを理解できつつ、あると思うので、 ぜひ次はチームメンバー等の周りも意識した行動を取ってくれることを期待しています！
・slackの対応が細かく丁寧、慎重に進めている様子が目に浮かんでくる。
・自ら動く力がすごいと思います。"
259,2022/12/16,4601022,2022/04/01,Septeni Japan株式会社,第二営業本部第一営業部二課,仲間想いのリーダー,冒険型,調和,24,27,28,12,19,12,30,3,0,1,1,0,0,0,1,7.36407,[8 7 8 7 7 8],7.5,7.36407,6,32,3,67%,67%,17%,33%,33%,17%,33%,67%,33%,0%,0%,17%,17%,83%,50%,"・部外者ですが、自身の成長や目標のために、がむしゃらに働いている姿は本当に素晴らしいと思います！ 先輩へのコミュニケーションやフロントとしてのレビュースキル等レベルが高いと思うので、常に向上心を持って、今の意識のママ、自分と仕事に向き合い続けてください！
・担当案件のフロント業務を行う中で、方々からFBを受けた内容を元に日々進化していると思います。 ロープレ研修でも既存業務の合間を縫ってしっかり準備して本番も堂々たる提案でした。 今は辛くても、必ずその辛さが血となり肉となるので貪欲に突き進んで欲しい！
・うえきち、飲み会の幹事も含めお疲れ様！ロープレ大会の練習などで、しっかり聞いたことに相槌を打って理解し、本番に昇華できていたのを見て嬉しかったです。営業は一朝一夕で培えるものではないので、まずは1つずつ習得し、自信をつけていってね！丸山"
259,2022/12/16,4601005,2022/04/01,Septeni Japan株式会社,第一営業本部第四営業部一課,カリスマリーダー,冒険型,外交,22,23,14,12,11,12,22,8,1,1,0,0,0,0,1,7.34387,[ 7  6 10  6  9  8  8],7.714,7.34387,7,24,5,86%,57%,0%,43%,14%,43%,0%,14%,0%,14%,0%,29%,14%,29%,0%,"・BP時代から、素晴らしいトレーナーの元でたくさん経験をされて、 提案王企画での数字の積み上がりもご自身の胆力の賜物だと感じてます。 同じ中途として、同じ部の人間として学ぶ面も多く、すごくいい刺激となってます！ 今後ともよろしくお願いします！
・難易度高いお客様相手にも、事前準備をしっかり行うことで見事に対応してくれてると感じてます。 これから繁忙期を迎え本格的に大変になると思うけど、やりがい大きい仕事だし、この期間大きく成長できる機会だと思うので、一緒に乗り越えていこう。
・なれない業務で最初はかなり苦労してたと思うけど、徐々に慣れてきてできなかったことができるようになってきている。 まだまだタスク量は多いけど一個ずつできるようになっていこう
・提案など難しい業務に必死に向き合っている印象だったので、徐々にそれが実績につながると評価されることが増えると思う。
・わからないことを素直にわからないと先輩方に教えてもらいに行ける行動力が良いと思います。"
259,2022/12/16,1000266,2022/04/01,株式会社セプテーニ・ホールディングス,ｾﾌﾟﾃｰﾆ・ﾎｰﾙﾃﾞｨﾝｸﾞｽ 人事部/採用企画部/研究所,世話好きなオールマイティ,協調型,調和,14,17,16,16,17,10,21,12,0,0,0,0,0,0,1,7.32234,[ 8  9  7  9  6  7  7  8  7 10  8  7  6],7.615,7.32234,13,56,11,92%,54%,38%,15%,62%,8%,54%,15%,0%,8%,23%,15%,31%,8%,8%,"・ほしみくの印象はパッションかなと勝手に思ってます(笑)仕事に対する情熱だったり責任感を持っていて、周りを巻き込んでいく力はチーム随一なのではないかと！まだまだ社会人生活始まったばかりなので、これからの大活躍に期待しております！！
・幅広い業務の経験から自信がついたような印象を受けています。ほしみくの主体性・責任感・スピードが、チームの大きな助けとなっています。採用シーズンに入ると益々忙しくなりますが、持ち前のエネルギーで活躍してくれることを期待しています。
・要望キャッチアップ/アウトプットの速度は素晴らしいです。超助かっています。主体的な提案数も増えてきたし、一緒に働くのがより楽しくなってきました。次のステップを見据えて、自分で目標/納期設定、進行管理する能力を磨いていってみよう。
・ほしみくと同じ業務をしたことがないけれど、情報収集を主体的にするうえ、先輩へのコミュニケーションの回数が多くすごいとよく聞いています！わたしはどんどん自分からっていうのが得意ではないので見習いたい！！
・責任感を持ち、目標達成の為に取り組んでいる様子が素晴らしいと思います。そんな姿を見せてもらって、良い影響を受けています。ありがとう。多少の失敗があっても構わないので、思いっきりやっていってください！
・採用チームに来てくれてありがとう！いきなり忙しいタイミングで来てもらったけど、頑張ってキャッチアップして取り組んでくれているね。もしきつかったら言ってくれていいからね。これからも一緒に頑張ろう！
・積極的に不明瞭な点をコミュニケーションとっているのはとても評価できる。 進捗管理もっとできるとさらによいと思います。 やることがわかっていると不安感も軽減するかと思いますので頑張ってみてほしい。
・普段の仕事に対する姿勢から当事者意識・責任感が半端じゃないなと感心します。これからの伸びがとても期待できるので引き続きよろしく！困ったことがあれば周りを頼ってください！
・主体的なアクションは維持しつつ、徐々に業務にも慣れて安定感がでてきていると思います。段取りの意識も高まっていると感じるので、この調子でがんばってください！
・キャパシティがいっぱいいっぱいでも細かなスケジュール管理を行い、終わるまで取り組むという姿勢を崩さないひたむきさが強みだと思いました。
・依頼されたことに対して疑問を解消できるまで聞く姿勢が良いと思います！"
259,2022/12/16,4601014,2022/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部ｱｶｳﾝﾄﾃﾞｨﾚｸｼｮﾝ部一課,チームの名サポーター,協調型,順応,16,10,26,17,15,8,23,12,0,0,1,0,0,0,1,7.29228,[8 6 7 8 7 8 8 7 8],7.444,7.29228,9,40,6,33%,33%,33%,11%,56%,11%,44%,44%,44%,0%,0%,44%,11%,56%,22%,"・今では大体の改修依頼も新規作成もできるようになって、大変頼もしくなってきました！ ルーチンもいっぱいこなしてくれていたりととても助かってます。あとは、改修するにしてもより効率の良いやり方で、この後移管した時に更新しやすいように、まで考えられるとよりベスト！ 引き続き頑張ろう！
・案件をこなすだけでなく自動ツールの取り組みも進んで進行してくれていて頼もしい！ データへの理解は１つ１つできていると思うのでさらにいろんな案件をこなして 磨きをかけていってください！
・レポート業務で着実に力をつけてくれているのが頼もしいです！議事録やエラー連絡などの主体的な動きも良かったと思うので、この調子で活躍の場をさらに広げてもらえたら嬉しいです。
・難しいレポートをいくつもこなしているのは素晴らしいです！今後はディレクターとしてのスキルも磨いていけるとより良くなるとおもいます！
・いつもレポーティングで助けられてます。
・確認・対応が早くてとても助かってます！"
259,2022/12/16,4601051,2022/04/01,Septeni Japan株式会社,ﾃﾞｰﾀ事業本部ﾃﾞｰﾀﾌﾟﾗﾝﾆﾝｸﾞ部一課,チームの名サポーター,協調型,調和,22,20,24,18,18,8,26,3,0,0,1,0,0,0,1,7.2825,[ 7  7  7  7  7  7  9  7 10],7.556,7.2825,9,41,9,78%,67%,22%,33%,44%,0%,33%,44%,22%,11%,0%,33%,22%,22%,22%,"・知らない領域の部署で不安いっぱいで異動してきたと思いますが、 業務をキャッチアップしようとする前向きな姿勢が素晴らしいです。 特にSlackでのやりとりでは、聞かれたことに関して「自分で回答考えてみてもいいですか？」と 主体的に動いてくれるのは部の皆も関心していると思います。
・入社半年での異動で大きな不安もあったと思いますが、すぐに適応してくれました。自身の目標達成を意識した動きも出来ていると思います。組織をよくしようとする意識も持ってくれているので、その視座を今後さらに上げていき、アクションに繋げてくれると期待しています！
・OSで半年間お疲れ様！最初は慣れないことも多くて大変だっただろうけど、9月には1人前の営業と呼べるほど成長してたと思う！データに行っても営業として培ったスキルが発揮されているようで、トレーナーとしては本当に本当に嬉しいです！
・異動3ヶ月でしっかり提案業務ができていて、成長が早いと思ってます！ 周囲へのサポートの相談も的確に行えてるので、周りの先輩を頼りながらどんどん提案対応していきましょう！
・異動してしまって寂しいですが、移った先でもなっちゃんらしく活躍されているようで嬉しいです！持ち前の継続力とタフネスで頑張ってほしいし、たまに休んでもほしいです！
・たけなつ頑張ってるかー？この前は幹事ありがとうね！新天地でも慣れてきたとのことで少し安心しました！ 今後もなっちゃんの活躍を期待してます！
・バリュエンスジャパンのPRECOG提案はすごく落ち着いていてよかったです！ 引き続き頑張って！
・主体性の強化に合わせて、少しずつ目標意識、会社視点を持てるようになっていってほしい
・本質から理解しようとする姿勢が良いです！またオフィスで会おう。"
259,2022/12/16,4601071,2022/04/01,Septeni Japan株式会社,第二営業本部第一営業部一課,革新的なサイエンティスト,戦略型,新奇,24,11,18,15,24,14,9,2,1,0,0,0,1,0,0,7.24536,[7 7 8 7 8 7 8 7],7.375,7.24536,8,38,6,100%,50%,12%,62%,38%,0%,38%,38%,0%,0%,38%,12%,25%,50%,12%,"・ほんとにお疲れ様！11月-12月あたりは引継ぎや難しい認知を遅い時間までこなしながら頑張ってたね！  経験値としては絶対にでかいので自信持ってぜひ今後も活かしてほしいし、大型案件とかもっとレビューや納品を増やしていきたいってことを引き続き一緒にやっていこう！
・10月に環境が変わったこともあり戸惑いもあったと思うが、その中でも持ち前のコミュニケーションでしっかりと自分の役割を果たしてくれたと思う。わからない部分が発生してしまうことは年次的にも仕方ないので、引き続き周りから吸収しながら進んでいってほしい。
・まだまだ経験値は足りてない中ではあるが、進行を見渡して必死に喰らいついていく姿勢は◯、やることないかを自発的に探し、空いた時間も自己成長や進行補完の業務に充てている。コミュニケーション能力もあるので、周りに即座に相談を入れながら進行できている。
・ふじももちゃんゼブではありがとう！ コミュニケーションが本当に丁寧で、めちゃめちゃやりやすい営業さんだったので離れちゃって残念です…。 そのコミュニケーション能力があればどこでも上手くやれると思う！これからも応援してます！
・相手を思った分かり易い、見やすい資料で〇。結果→提案も入っており〇。 個人的にはもっと自信持っていいよ！と言いたいｗ 来年は先輩になるので、自信を持った先輩として頑張って！最初は虚勢で全然いいよー
・難しい案件を多数捌くことで、更に成長していると思います！"
259,2022/12/16,4601074,2022/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第二ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部一課,孤高の哲学者,戦略型,分析,18,17,16,16,20,19,19,6,0,0,0,0,1,1,1,7.21107,[8 8 9 5 7 7 8],7.429,7.21107,7,42,3,43%,43%,43%,0%,0%,29%,71%,43%,86%,0%,14%,71%,29%,43%,86%,"・人材系広告主×TikTokではお世話になりました。 大学時代の活動もナレッジセブンで聞いた時は「スゴイ新人が来たもんだ」と思ってましたが 自案件にアサインいただいた時はすごく頼もしかったと記憶してます！！ （実運用の場面でもスゴイやりやすかったです！）
・行動の量・質ともにレベルは着実に上がってるように感じます。周囲のサポートが無くてもコンサル業務をこなせる状況も増えてきているのではと思いますが、基本動作を丁寧に実行することを常に意識してもらえると良いと思います。飛躍的な成長を期待してます！
・媒体知識の吸収力が高く、早い段階から1人立ちしてくれている印象です。数は少ないですが施策投稿の質も高いので、クオリティ面は継続してほしい反面、残業意識にも目を向けると、進行管理はよりスムーズになると思います。"
259,2022/12/16,4601067,2022/04/01,Septeni Japan株式会社,第一営業本部第二営業部一課,仲間と歩む探求者,冒険型,調和,23,20,18,13,11,8,25,10,1,0,0,0,0,0,1,7.18799,[7 8 6 7 9 7 7 8],7.375,7.18799,8,30,5,75%,50%,25%,12%,25%,0%,12%,25%,12%,0%,12%,38%,12%,12%,62%,"・基礎的なスキルは他BNメンバーと比較してもかなり高い評価。とにかく経験値を積むことが必要、というのは自身も自覚していると思っており、そこに対して前のめりにアクションが取れているのもとても良い。引き続き前のめりに上司の仕事を奪うスタンスで動けると良い。
・理解力が非常に高く、矛盾点や次取るべき対応の気づきが鋭いです。頭でっかちではなく行動力もあるタイプで、非常に頼もしいです。
・初めての納品躓きながらもがんばっていて良い！ 今後はよりはやく自走できるようになってくれることを期待します！
・初めてクレディセゾンで一緒になったが、頼もしい限りだった！ もっと経験積んで化けること期待してます！
・ナレッジセブンでの自己紹介が過去イチだと思ってます。 もっと期待！"
259,2022/12/16,4601033,2022/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第一ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部三課,仲間想いのリーダー,冒険型,調和,16,23,19,15,21,13,25,9,0,1,0,0,0,0,1,7.17875,[ 7  6  6  7  7 10  8  9  8  7  7],7.455,7.17875,11,46,9,73%,36%,18%,18%,27%,0%,36%,27%,45%,0%,0%,45%,18%,45%,27%,"・物怖じしない姿勢がめっちゃ素晴らしいと思います！いろんな局面でいろんな先輩から様々なことを吸収できている感じがするね。 コンサルにとって大事で、フロントでも役立つ、アクションに対するロジック詰め、立てた論理をシェアして合意形成する、というような立ち回りを意識していきましょう！
・顧客からのメールを営業より先に見て対応進めてくれたり、週次コメントの内容も濃厚になっていたり（しかも先輩の添削ラリー減っている気がする）、定例会前の確認も筋の通ったロジカルな説明をもらえたり、非常に頼もしく成長されていると思います！！ありがとうございます！
・物怖じせずに物事に取り組めることは今後の強みになると思います、引き続きチャレンジしてできることを増やしてください。あとはそこに質とスピードの両立を意識して取り組んでもらえると1つ上のステージに上がれるんじゃないかなと思ってます。
・Kan changとはあまり仕事で関わらないが、最近めちゃくちゃ安定していて素晴らしい！出社の時ももくもくと仕事してる印象が強いです←最高。リモート会議の時の滝廉太郎スタイルは今後も続けていってほしいです。
・BNとは思えない粒度で分析をしてくれる点、迅速に対応しようとする姿勢がこちらも見習わなければいけないなと感じます。直接の関わりは少ないですが、今後の活躍に期待してます！
・いつも丁寧な対応で大変感謝しております！ 積極的に施策の提案してくださるので営業としてとても心強く感じています！ 引き続き宜しくお願い致します！
・少ししか関わることはなかったが、レスも早くコミュニケーションも丁寧で一緒に仕事がしやすい人だと感じた。
・だんだんと仕事に慣れて、仕事のさばき方もだいぶ様になってきたように感じます！
・レスが早く、業務においてのコミュニケーションも非常にとりやすいです。"
624,2022/12/16,4600934,2021/04/01,Septeni Japan株式会社,ｸﾞﾛｰｽﾃｸﾉﾛｼﾞｰ本部ﾃﾞｨﾍﾞﾛｯﾌﾟﾒﾝﾄﾃﾞｻﾞｲﾝ部一課,チームの名サポーター,協調型,順応,17,10,28,18,15,8,25,1,0,0,1,0,0,0,1,7.15802,[ 9  7  6  5  8 10  8  7],7.5,7.15802,8,34,6,12%,50%,12%,25%,50%,0%,25%,88%,25%,12%,12%,50%,12%,0%,50%,"・PJ中核メンバーとして積極的に開発に取り組んでもらっていて助かります！保守/開発の両輪を着実に進めてもらっています。今後の期待としてはスケジューリング精度向上でしょうか。期待値を擦り合わせる事/重要×緊急度からタスク優先度を見定める事/自分のキャパを知る事でより良くなりそうです！
・持っている観点が多いなと感じています。「そのやり方だとこういうとき困りますよね」っていう指摘を真っ先に入れてくれている印象があり、意見を求めたくなる相手です。 チームで分担する作業の手順作成で粒度を適切にコントロールできるようになると、さらに一緒に働きやすい存在になると思います。
・PJの難関部分を主導し、壁にぶつかりながらも粘り強く形にしてくれています。 当然悩みもあると思いますが、リーダーシップ力が以前よりかなり上がったと感じます。 もともと課題発見力や本質の理解力は優れていると思うので、今回の経験で得た気付きを他の業務でもぜひ活かしてほしいです。
・運用Gの構築など解像度が粗い課題に対して愚直に向き合い進めてくれて助かりました。日々の業務もタフにこなしており、着実にスキルが向上していると感じます。今後は新たなミッションにも挑戦し、組織内での価値をどんどんあげていってほしいです。
・わからないことがあっても、頭使って積極的に行動するところめっちゃいいと思う！ 思考を整理する力みたいなのがもっとつけれるといいね！
・緊急度など、タスクの進行については優先順位をもって対応するなど、漏れなく処理していければもっと良いと思います！"
259,2022/12/16,4601076,2022/04/01,Septeni Japan株式会社,第一営業本部第二営業部一課,仲間と歩む探求者,冒険型,調和,22,21,20,14,14,16,26,10,1,0,0,0,0,0,1,7.11467,[8 7 6 8 7 7 7 8],7.25,7.11467,8,30,5,89%,56%,0%,44%,11%,22%,22%,22%,0%,22%,0%,11%,22%,11%,0%,"・前のめりな姿勢・スタンスはかなり評価している。現状は足元の進行管理や作業が中心だと思うが、顧客の矢面に立つことで本来持っているスキルを発揮できるタイプだと認識しているので、引き続き業務知識をつけながらフロントに立つ経験を早期に積んでほしい。
・BNながら、向上心と正解を探りに行く姿勢が素晴らしいと思ってます。 中途ながら「どの会社いっても通用するだろうな」と感じてます。 （もちろんSepteniで発揮してくれ）
・主に新規提案ばかりの日々だが、この経験が必ず自分の武器になります！ 引き続き果敢なアクションを期待します！
・行動力の高さはピカイチだと思います。経験は後からついてくるので、今の調子で頑張って！
・だいぶ成長したのでは？ 引き続き、伸びしろしかないので頼む！"
